Title,Author,Category,Format,ISBN,Publication Year,Date Read
The Dark Lord Trilogy: Star Wars Legends,James Luceno,Fiction,BOOK,9780345485380,2008-08-26,NULL
The Dark Lord Trilogy: Star Wars Legends,Matthew Stover,Fiction,BOOK,9780345485380,2008-08-26,NULL
Angels and Demons,Dan Brown,Fiction,BOOK,9780552150736,2001,NULL
"Harry Potter and the Sorcerer's Stone (Harry Potter, Book 1)",J. K. Rowling,Juvenile Fiction,BOOK,9781338878929,2023-05-02,NULL
Ready Player One,Ernest Cline,Fiction,BOOK,9780307887443,2012-06-05,NULL
The Outsider,Stephen King,Fiction,BOOK,9781982148249,2020-01-14,NULL
Steve Jobs,Walter Isaacson,Biography & Autobiography,BOOK,9781501127625,2015-09-15,NULL
Wind and Truth,Brandon Sanderson,Fiction,BOOK,9781250319180,2024-12-06,NULL
A Christmas Carol,Charles Dickens,Juvenile Fiction,BOOK,9781853261213,1993,NULL
The Force Unleashed II: Star Wars Legends,Sean Williams,Fiction,BOOK,9780345511553,2011-09-06,NULL
Master & Apprentice (Star Wars),Claudia Gray,Fiction,BOOK,9781984819611,2019-09-24,NULL
Heir to the Empire: Star Wars Legends (The Thrawn Trilogy),Timothy Zahn,Fiction,BOOK,9780553296129,1992-05-01,NULL
Twelve Years a Slave,Solomon Northup,African Americans,BOOK,9781631680021,2014,NULL
Treasure Island,Robert Louis Stevenson,Fiction,BOOK,9781101990322,2016-05-03,NULL
Dracula,Bram Stoker,Fiction,BOOK,9781853260865,1993,NULL
The Hunchback of Notre-Dame,Victor Hugo,Fiction,BOOK,9781853260681,1993,NULL
Dr Jekyll and Mr Hyde with the Merry Men and Other Stories,Robert Louis Stevenson,Fiction,BOOK,9781853260612,1993,NULL
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Fiction,BOOK,9781853260339,1992,NULL
Journey to the Center of the Earth,Jules Verne,Fiction,BOOK,9780486440880,2005-03-04,NULL
